2019,CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
2019,201901187035,0,0,0,0,0,1,0,1,1
2019,201901187065,0,0,0,0,0,1,1,1,1
2019,201901187134,0,0,0,0,0,1,0,0,1
2019,201901187229,0,0,0,0,0,0,0,0,1
2019,201901187236,0,0,0,0,0,0,0,0,1
2019,201901187238,0,0,0,0,0,1,1,1,1
2019,201901187273,0,1,0,0,0,1,0,0,1
2019,201901187277,0,1,0,0,0,1,0,0,1
2019,201901187348,0,0,0,0,0,1,0,0,1
2019,201901187368,0,0,0,0,0,1,0,0,1
2019,201901187473,0,0,0,0,0,1,0,0,1
2019,201901187493,0,0,0,0,0,1,0,0,1
2019,201901187591,0,0,0,0,0,1,0,0,1
2019,201901187626,0,0,0,0,0,1,0,0,1
2019,201901187657,0,0,0,0,0,1,0,0,1
2019,201901187716,0,0,0,0,0,0,0,1,1
2019,201901187722,0,0,0,0,0,0,0,0,1
2019,201901187728,0,0,0,0,0,0,0,0,1
2019,201901187745,0,0,0,0,0,1,0,0,1
2019,201901187756,0,0,0,0,0,1,0,0,1
2019,201901187766,0,0,0,0,0,1,0,0,1
2019,201901187778,0,0,0,0,0,1,0,0,1
2019,201901187873,0,0,0,0,0,1,0,0,1
2019,201901189571,0,0,0,0,0,1,0,0,1
2019,201901190616,0,0,0,0,0,0,0,1,1
2019,201901190636,0,0,0,0,0,1,0,1,1
2019,201901190665,0,0,0,0,0,1,0,0,1
2019,201901190781,0,0,0,0,0,0,0,0,1
2019,201901190785,0,0,0,0,0,0,0,0,1
2019,201901190802,0,0,0,0,0,1,0,0,1
2019,201901190819,0,0,0,0,0,1,0,0,1
2019,201901190826,0,0,0,0,0,1,0,0,1
2019,201901190841,0,0,0,0,0,1,0,0,1
2019,201901190847,0,0,0,0,0,1,0,0,1
2019,201901191138,0,0,0,0,0,1,0,0,1
2019,201901191145,0,0,0,0,0,1,0,1,1
2019,201901191221,0,0,0,0,0,1,0,0,1
2019,201901191388,0,0,0,0,0,1,0,0,1
2019,201901191438,0,0,0,0,0,1,0,0,1
2019,201901191458,0,0,0,0,0,1,0,0,1
2019,201901191487,0,0,0,0,0,1,0,0,1
2019,201901191509,0,0,0,0,0,1,0,0,1
2019,201901191529,0,0,0,0,0,1,0,0,1
2019,201901191540,0,0,0,0,0,1,1,1,1
2019,201901191565,0,0,0,0,0,1,0,0,1
2019,201901191583,0,0,0,0,0,1,0,0,1
2019,201901191586,0,0,0,0,0,1,0,0,1
2019,201901191591,0,0,0,0,0,1,0,0,1
2019,201901191602,0,0,0,0,0,1,0,0,1
2019,201901191639,0,0,0,0,0,1,0,0,1
2019,201901191640,0,0,0,0,0,1,0,0,1
2019,201901191684,0,0,0,0,0,1,0,0,1
2019,201901191709,0,1,0,0,0,0,1,0,1
2019,201901191711,0,0,0,0,0,0,0,0,1
2019,201901191719,0,0,0,0,0,1,0,0,1
2019,201901191780,0,0,0,0,0,1,0,0,1
2019,201901191837,0,0,0,0,0,1,0,0,1
2019,201901193792,0,0,0,0,0,0,0,0,1
2019,201901193793,0,0,0,0,0,0,0,0,1
2019,201901193800,0,0,0,0,0,0,0,0,1
2019,201901193801,0,0,0,0,0,0,0,0,1
2019,201901193803,0,0,0,0,0,0,0,0,1
2019,201901193804,0,0,0,0,0,0,0,0,1
2019,201901193813,0,0,0,0,0,0,0,0,1
2019,201901193829,0,0,0,0,0,1,0,0,1
2019,201901193840,0,0,1,0,0,1,0,0,1
2019,201901193919,0,0,0,0,0,1,0,0,1
2019,201901193937,0,0,0,0,0,0,0,0,1
2019,201901193947,0,0,0,0,0,0,0,1,1
2019,201901193974,0,0,0,0,0,1,0,0,1
2019,201901194177,0,0,0,0,0,1,0,1,1
2019,201901194178,0,0,0,0,0,1,1,1,1
2019,201901194187,0,0,0,0,0,1,0,0,1
2019,201901194188,0,0,0,0,0,1,0,0,1
2019,201901194283,0,1,0,0,0,1,1,0,1
2019,201901194355,0,0,0,0,0,1,0,0,1
2019,201901194617,0,0,0,0,0,1,0,0,1
2019,201901194677,0,0,0,0,0,1,0,0,1
2019,201901194737,0,0,0,0,0,1,0,0,1
2019,201901194771,0,0,0,0,0,1,0,0,1
2019,201901194821,0,0,0,0,0,1,0,0,1
2019,201901194830,0,0,0,0,0,1,0,0,1
2019,201901194891,0,0,0,0,0,1,0,0,1
2019,201901194909,0,0,0,0,0,1,0,1,1
2019,201901194919,0,0,0,0,0,0,0,1,1
2019,201901194922,0,0,0,0,0,0,0,1,1
2019,201901194932,0,0,0,0,0,0,0,0,1
2019,201901194952,0,0,0,0,0,1,0,0,1
2019,201901194970,0,0,0,0,0,1,0,0,1
2019,201901194971,0,0,0,0,0,1,1,0,1
2019,201901195012,0,0,0,0,0,1,0,0,1
2019,201901195442,0,0,0,0,0,0,0,1,1
2019,201901196370,0,0,0,0,0,0,0,0,1
2019,201901196375,0,0,1,0,0,0,0,1,1
2019,201901196385,0,0,0,0,0,0,0,1,1
2019,201901196386,0,0,0,0,0,0,0,1,1
2019,201901196388,0,0,0,0,0,0,0,1,1
2019,201901196511,1,0,0,0,0,0,0,0,1
2019,201901196513,0,0,0,0,0,0,0,0,1
2019,201901196516,0,0,0,0,0,0,0,0,1
2019,201901196522,0,0,1,0,0,0,1,1,1
2019,201901196527,0,0,0,0,0,1,0,0,1
2019,201901196629,1,0,0,0,0,0,0,0,1
2019,201901196650,1,0,0,0,0,1,0,0,1
2019,201901196674,0,0,0,0,0,1,0,0,1
2019,201901196676,0,0,0,0,0,1,0,0,1
2019,201901196779,0,0,0,0,0,1,0,1,1
2019,201901196816,0,0,0,0,0,1,0,0,1
